any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	mind	5	clean21	4.5	True	True	6.166811178559324	False	False	main650	5	505	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4p5_mind/summary.json	scene06_074d4f6b_d4p5_mind	False
True	False	ours	5	clean21	4.5	True	True	0.4964583318366382	True	False	main650	5	564	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4p5_ours/summary.json	scene06_074d4f6b_d4p5_ours	False
True	False	aeb_only	5	clean21	5.0	True	True	4.743970039444618	False	False	main650	5	501	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5_aeb_only/summary.json	scene06_074d4f6b_d5_aeb_only	False
True	False	mind	5	clean21	5.0	True	True	6.166811178559324	False	False	main650	5	501	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5_mind/summary.json	scene06_074d4f6b_d5_mind	False
False	False	ours	5	clean21	5.0	False	True		True	True	main650	5	557	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5_ours/summary.json	scene06_074d4f6b_d5_ours	True
True	False	aeb_only	5	clean21	5.5	True	True	4.164375418569901	False	False	main650	5	497	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5p5_aeb_only/summary.json	scene06_074d4f6b_d5p5_aeb_only	False
True	False	mind	5	clean21	5.5	True	True	6.178388852436094	False	False	main650	5	497	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5p5_mind/summary.json	scene06_074d4f6b_d5p5_mind	False
False	False	ours	5	clean21	5.5	False	True		True	True	main650	5	551	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d5p5_ours/summary.json	scene06_074d4f6b_d5p5_ours	True
True	False	aeb_only	6	clean21	3.0	True	True	6.828928992402252	False	False	main650	6	424	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3_aeb_only/summary.json	scene09_c4dccd80_d3_aeb_only	False
True	False	mind	6	clean21	3.0	True	True	6.913408106503835	False	False	main650	6	424	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3_mind/summary.json	scene09_c4dccd80_d3_mind	False
True	False	ours	6	clean21	3.0	True	True	4.053470884091442	False	False	main650	6	529	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3_ours/summary.json	scene09_c4dccd80_d3_ours	False
True	False	aeb_only	6	clean21	3.5	True	True	6.303430562817618	False	False	main650	6	420	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3p5_aeb_only/summary.json	scene09_c4dccd80_d3p5_aeb_only	False
True	False	mind	6	clean21	3.5	True	True	6.913432424293944	False	False	main650	6	420	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3p5_mind/summary.json	scene09_c4dccd80_d3p5_mind	False
True	False	ours	6	clean21	3.5	True	True	3.7623010632229708	False	False	main650	6	523	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d3p5_ours/summary.json	scene09_c4dccd80_d3p5_ours	False
True	False	aeb_only	6	clean21	4.0	True	True	6.303430562817618	False	False	main650	6	417	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4_aeb_only/summary.json	scene09_c4dccd80_d4_aeb_only	False
True	False	mind	6	clean21	4.0	True	True	6.913432424293944	False	False	main650	6	417	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4_mind/summary.json	scene09_c4dccd80_d4_mind	False
True	False	ours	6	clean21	4.0	True	True	3.4093378250720745	False	False	main650	6	518	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene09_c4dccd80_d4_ours/summary.json	scene09_c4dccd80_d4_ours	False
